날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2020-05-13 06,서울 중구,중구,111121,.002,.4,.008,.032,24,15
2020-05-13 07,서울 중구,중구,111121,.003,.4,.009,.034,23,12
2020-05-13 08,서울 중구,중구,111121,.003,.4,.015,.033,26,10
2020-05-13 09,서울 중구,중구,111121,.003,.4,.019,.026,28,7
2020-05-13 10,서울 중구,중구,111121,.003,.3,.022,.023,28,7
2020-05-13 11,서울 중구,중구,111121,.003,.3,.028,.018,27,11
2020-05-13 12,서울 중구,중구,111121,.002,.3,.033,.015,30,9
2020-05-13 13,서울 중구,중구,111121,.003,.3,.033,.016,29,9
2020-05-13 14,서울 중구,중구,111121,.003,.3,.037,.013,30,11
2020-05-13 15,서울 중구,중구,111121,.003,.3,.036,.014,31,9
2020-05-13 16,서울 중구,중구,111121,.002,.3,.038,.013,32,9
2020-05-13 17,서울 중구,중구,111121,.003,.3,.037,.014,29,10
2020-05-13 18,서울 중구,중구,111121,.003,.3,.037,.014,26,8
2020-05-13 19,서울 중구,중구,111121,.002,.3,.036,.015,25,10
2020-05-13 20,서울 중구,중구,111121,.003,.4,.028,.025,28,12
2020-05-13 21,서울 중구,중구,111121,.002,.3,.034,.017,23,10
2020-05-13 22,서울 중구,중구,111121,.003,.4,.021,.032,21,8
2020-05-13 23,서울 중구,중구,111121,.003,.5,.008,.045,25,12
2020-05-13 24,서울 중구,중구,111121,.003,.4,.004,.045,24,10
2020-05-14 01,서울 중구,중구,111121,.003,.4,.007,.04,23,12
2020-05-14 02,서울 중구,중구,111121,.003,.5,.008,.036,20,10
2020-05-14 03,서울 중구,중구,111121,.003,.6,.003,.042,19,14
2020-05-14 04,서울 중구,중구,111121,.003,.6,.003,.042,24,12
2020-05-14 05,서울 중구,중구,111121,.003,.5,.005,.037,23,12
2020-05-14 06,서울 중구,중구,111121,.003,.4,.01,.032,21,12
2020-05-14 07,서울 중구,중구,111121,.002,.4,.012,.032,21,10
2020-05-14 08,서울 중구,중구,111121,.002,.4,.011,.036,26,11
2020-05-14 09,서울 중구,중구,111121,.003,.5,.01,.04,28,13
2020-05-14 10,서울 중구,중구,111121,.003,.6,.012,.042,30,13
2020-05-14 11,서울 중구,중구,111121,.003,.5,.019,.034,27,15
2020-05-14 12,서울 중구,중구,111121,.003,.4,.025,.03,26,11
2020-05-14 13,서울 중구,중구,111121,.003,.4,.035,.024,29,12
2020-05-14 14,서울 중구,중구,111121,.003,.4,.05,.018,35,12
2020-05-14 15,서울 중구,중구,111121,.003,.3,.054,.015,43,12
2020-05-14 16,서울 중구,중구,111121,.004,.3,.046,.018,44,12
2020-05-14 17,서울 중구,중구,111121,.005,.4,.047,.02,44,13
2020-05-14 18,서울 중구,중구,111121,.004,.4,.044,.024,42,12
2020-05-14 19,서울 중구,중구,111121,.004,.4,.038,.03,45,12
2020-05-14 20,서울 중구,중구,111121,.004,.5,.025,.046,51,16
2020-05-14 21,서울 중구,중구,111121,.004,.6,.023,.043,55,19
2020-05-14 22,서울 중구,중구,111121,.003,.6,.019,.046,52,18
2020-05-14 23,서울 중구,중구,111121,.003,.6,.012,.053,55,17
2020-05-14 24,서울 중구,중구,111121,.003,.5,.015,.047,49,17
2020-05-15 01,서울 중구,중구,111121,.003,.5,.018,.042,47,16
2020-05-15 02,서울 중구,중구,111121,.003,.5,.018,.037,49,17
2020-05-15 03,서울 중구,중구,111121,.003,.5,.015,.04,49,19
2020-05-15 04,서울 중구,중구,111121,.003,.5,.012,.041,50,19
2020-05-15 05,서울 중구,중구,111121,.003,.4,.023,.029,75,17
2020-05-15 06,서울 중구,중구,111121,.004,.3,.028,.023,84,16
2020-05-15 07,서울 중구,중구,111121,.003,.4,.016,.037,48,17
2020-05-15 08,서울 중구,중구,111121,.003,.4,.016,.034,44,18
2020-05-15 09,서울 중구,중구,111121,.002,.4,.016,.035,39,16
2020-05-15 10,서울 중구,중구,111121,.003,.4,.017,.032,38,14
2020-05-15 11,서울 중구,중구,111121,.002,.5,.018,.031,31,14
2020-05-15 12,서울 중구,중구,111121,.002,.5,.021,.027,26,13
2020-05-15 13,서울 중구,중구,111121,.002,.5,.024,.022,23,13
2020-05-15 14,서울 중구,중구,111121,.002,.4,.023,.022,20,14
2020-05-15 15,서울 중구,중구,111121,.002,.4,.022,.02,24,11
2020-05-15 16,서울 중구,중구,111121,.003,.4,.017,.026,14,8
2020-05-15 17,서울 중구,중구,111121,.003,.4,.017,.026,12,6
2020-05-15 18,서울 중구,중구,111121,.002,.4,.017,.025,8,6
2020-05-15 19,서울 중구,중구,111121,.002,.4,.014,.03,8,5
2020-05-15 20,서울 중구,중구,111121,.002,.5,.014,.03,14,10
2020-05-15 21,서울 중구,중구,111121,.002,.5,.016,.027,17,12
2020-05-15 22,서울 중구,중구,111121,.002,.4,.015,.025,12,9
2020-05-15 23,서울 중구,중구,111121,.002,.4,.013,.025,9,7
2020-05-15 24,서울 중구,중구,111121,.002,.4,.015,.022,9,6
2020-05-16 01,서울 중구,중구,111121,.002,.4,.016,.019,7,5
2020-05-16 02,서울 중구,중구,111121,.002,.4,.019,.013,9,6
2020-05-16 03,서울 중구,중구,111121,.002,.4,.02,.011,7,5
2020-05-16 04,서울 중구,중구,111121,.002,.4,.018,.012,8,4
